latitude,longitude,timestamp,traj_id
-49.6837,180.7275,1695331048.0,0
-49.5918,181.184,1695331053.0,0
-49.4885,181.6842,1695331058.0,0
-49.3926,182.1369,1695331063.0,0
-49.2848,182.6328,1695331069.0,0
-49.1849,183.0816,1695331074.0,0
-49.083,183.5285,1695331079.0,0
-48.9687,184.0179,1695331084.0,0
-48.8629,184.4607,1695331089.0,0
-48.7552,184.9015,1695331094.0,0
-48.6347,185.3841,1695331100.0,0
-48.5231,185.8207,1695331105.0,0
-48.3984,186.2987,1695331110.0,0
-48.2831,186.7311,1695331115.0,0
-48.166,187.1613,1695331121.0,0
-48.0352,187.6322,1695331126.0,0
-47.9145,188.0582,1695331131.0,0
-47.7796,188.5244,1695331137.0,0
-47.6552,188.9459,1695331142.0,0
-47.5292,189.3653,1695331147.0,0
-47.3886,189.8242,1695331152.0,0
-47.259,190.2392,1695331157.0,0
-47.1145,190.6932,1695331163.0,0
-46.9815,191.1037,1695331168.0,0
-46.8469,191.512,1695331173.0,0
-46.6969,191.9587,1695331178.0,0
-46.5589,192.3625,1695331183.0,0
-46.4194,192.7641,1695331188.0,0
-46.2641,193.2034,1695331194.0,0
-46.1213,193.6005,1695331199.0,0
-45.9625,194.0347,1695331204.0,0
-45.8165,194.4273,1695331209.0,0
-45.669,194.8177,1695331214.0,0
-45.5052,195.2445,1695331220.0,0
-45.3546,195.6303,1695331225.0,0
-45.1874,196.0521,1695331230.0,0
-45.0339,196.4334,1695331235.0,0
-44.8789,196.8125,1695331240.0,0
-44.7069,197.2269,1695331246.0,0
-44.5491,197.6015,1695331251.0,0
-44.3739,198.0111,1695331256.0,0
-44.2132,198.3811,1695331261.0,0
-44.0512,198.749,1695331266.0,0
-43.8715,199.1512,1695331272.0,0
-43.7068,199.5147,1695331277.0,0
-43.5241,199.912,1695331282.0,0
-43.3566,200.271,1695331287.0,0
-43.188,200.628,1695331292.0,0
-43.001,201.0182,1695331298.0,0
-42.8297,201.3708,1695331303.0,0
-42.6399,201.7562,1695331308.0,0
-42.466,202.1045,1695331313.0,0
-42.291,202.4507,1695331318.0,0
-42.0972,202.8292,1695331324.0,0
-41.9198,203.1711,1695331329.0,0
-41.7233,203.5448,1695331334.0,0
-41.5435,203.8825,1695331339.0,0
-41.3626,204.2183,1695331344.0,0
-41.1623,204.5853,1695331350.0,0
-40.9791,204.9169,1695331355.0,0
-40.7763,205.2794,1695331360.0,0
-40.5908,205.6069,1695331365.0,0
-40.4043,205.9325,1695331370.0,0
-40.198,206.2883,1695331376.0,0
-40.0093,206.6098,1695331381.0,0
-39.8006,206.9614,1695331386.0,0
-39.6099,207.279,1695331391.0,0
-39.4181,207.5947,1695331396.0,0
-39.2061,207.9399,1695331402.0,0
-39.0123,208.2518,1695331407.0,0
-38.8176,208.5619,1695331412.0,0
-38.6024,208.9008,1695331417.0,0
-38.4057,209.207,1695331422.0,0
-38.1884,209.5419,1695331428.0,0
-37.97,209.8746,1695331433.0,0
-37.7704,210.1752,1695331438.0,0
-37.57,210.4741,1695331443.0,0
-37.3486,210.8009,1695331449.0,0
-37.1464,211.0962,1695331454.0,0
-36.923,211.4191,1695331460.0,0
-36.7191,211.7109,1695331465.0,0
-36.5143,212.0011,1695331470.0,0
-36.2882,212.3183,1695331475.0,0
-36.0818,212.6049,1695331480.0,0
-35.8745,212.89,1695331485.0,0
-35.6457,213.2018,1695331491.0,0
-35.4368,213.4835,1695331496.0,0
-35.2062,213.7917,1695331501.0,0
-34.9958,214.0702,1695331506.0,0
-34.7846,214.3471,1695331511.0,0
-34.5515,214.65,1695331517.0,0
-34.3388,214.9238,1695331522.0,0
-34.1254,215.1961,1695331527.0,0
-33.8899,215.4939,1695331532.0,0
-33.6535,215.7899,1695331538.0,0
-33.4379,216.0575,1695331543.0,0
-33.2216,216.3237,1695331548.0,0
-32.983,216.6149,1695331553.0,0
-32.7654,216.8781,1695331558.0,0
-32.5253,217.166,1695331564.0,0
-32.3063,217.4263,1695331569.0,0
-32.0867,217.6853,1695331574.0,0
-31.8444,217.9686,1695331579.0,0
-31.6235,218.2248,1695331584.0,0
-31.3798,218.5051,1695331590.0,0
-31.1577,218.7586,1695331595.0,0
-30.935,219.0107,1695331600.0,0
-30.6893,219.2866,1695331605.0,0
-30.4654,219.5361,1695331610.0,0
-30.241,219.7843,1695331615.0,0
-29.9934,220.056,1695331621.0,0
-29.7678,220.3016,1695331626.0,0
-29.519,220.5706,1695331631.0,0
-29.2923,220.8138,1695331636.0,0
-29.0649,221.0559,1695331641.0,0
-28.8144,221.3208,1695331647.0,0
-28.586,221.5604,1695331652.0,0
-28.3572,221.7989,1695331657.0,0
-28.1049,222.0599,1695331662.0,0
-27.875,222.2961,1695331667.0,0
-27.6216,222.5546,1695331673.0,0
-27.3907,222.7886,1695331678.0,0
-27.1594,223.0214,1695331683.0,0
-26.9044,223.2764,1695331688.0,0
-26.6721,223.507,1695331693.0,0
-26.4393,223.7367,1695331698.0,0
-26.1828,223.9881,1695331704.0,0
-25.9492,224.2156,1695331709.0,0
-25.6916,224.4648,1695331714.0,0
-25.4571,224.6903,1695331719.0,0
-25.2221,224.9149,1695331724.0,0
-24.9631,225.1608,1695331730.0,0
-24.7273,225.3834,1695331735.0,0
-24.4675,225.6271,1695331740.0,0
-24.2308,225.8478,1695331745.0,0
-23.9938,226.0675,1695331750.0,0
-23.7326,226.3083,1695331756.0,0
-23.4948,226.5262,1695331761.0,0
-23.2566,226.7433,1695331766.0,0
-22.9941,226.9811,1695331772.0,0
-22.7552,227.1964,1695331777.0,0
-22.4919,227.4323,1695331782.0,0
-22.2522,227.6459,1695331787.0,0
-21.9882,227.8799,1695331793.0,0
-21.7478,228.0918,1695331798.0,0
-21.5071,228.303,1695331803.0,0
-21.2419,228.5343,1695331808.0,0
-21.0005,228.744,1695331813.0,0
-20.7588,228.9528,1695331818.0,0
-20.4926,229.1816,1695331824.0,0
-20.2502,229.3889,1695331829.0,0
-19.9833,229.616,1695331834.0,0
-19.7404,229.8218,1695331839.0,0
-19.4971,230.027,1695331844.0,0
-19.2292,230.2519,1695331850.0,0
-18.9853,230.4556,1695331855.0,0
-18.7412,230.6586,1695331860.0,0
-18.4724,230.8812,1695331865.0,0
-18.2277,231.0829,1695331870.0,0
-17.9583,231.304,1695331876.0,0
-17.7131,231.5044,1695331881.0,0
-17.4677,231.7042,1695331886.0,0
-17.1974,231.9234,1695331891.0,0
-16.9513,232.122,1695331896.0,0
-16.7051,232.32,1695331901.0,0
-16.434,232.5371,1695331907.0,0
-16.1873,232.73399999999998,1695331912.0,0
-15.9156,232.9499,1695331917.0,0
-15.6684,233.1456,1695331922.0,0
-15.421,233.3408,1695331927.0,0
-15.1486,233.555,1695331933.0,0
-14.9008,233.7491,1695331938.0,0
-14.6279,233.96210000000002,1695331943.0,0
-14.3797,234.15519999999998,1695331948.0,0
-14.1312,234.3478,1695331953.0,0
-13.8577,234.5592,1695331959.0,0
-13.6087,234.751,1695331964.0,0
-13.3597,234.9422,1695331969.0,0
-13.0855,235.152,1695331974.0,0
-12.836,235.3424,1695331979.0,0
-12.5865,235.53230000000002,1695331984.0,0
-12.3117,235.7407,1695331990.0,0
-12.0618,235.9298,1695331995.0,0
-11.7866,236.13729999999998,1695332000.0,0
-11.5364,236.3256,1695332005.0,0
-11.2859,236.5135,1695332010.0,0
-11.0102,236.71980000000002,1695332016.0,0
-10.7595,236.9069,1695332021.0,0
-10.4835,237.11239999999998,1695332026.0,0
-10.2324,237.2988,1695332031.0,0
-9.9812,237.485,1695332036.0,0
-9.7048,237.6893,1695332042.0,0
-9.4533,237.8748,1695332047.0,0
-9.2018,238.0599,1695332052.0,0
-8.9249,238.26319999999998,1695332057.0,0
-8.6731,238.4478,1695332062.0,0
-8.396,238.6505,1695332068.0,0
-8.1439,238.8345,1695332073.0,0
-7.8917,239.01819999999998,1695332078.0,0
-7.6142,239.2201,1695332083.0,0
-7.3618,239.4033,1695332088.0,0
-7.1094,239.5863,1695332094.0,0
-6.8315,239.78730000000002,1695332099.0,0
-6.5788,239.9699,1695332104.0,0
-6.3008,240.1705,1695332110.0,0
-6.0479,240.3526,1695332115.0,0
-5.795,240.5346,1695332120.0,0
-5.5166,240.7345,1695332125.0,0
-5.2636,240.916,1695332130.0,0
-5.0104,241.0975,1695332135.0,0
-4.7319,241.2969,1695332141.0,0
-4.4786,241.478,1695332146.0,0
-4.1999,241.67700000000002,1695332151.0,0
-3.9465,241.8578,1695332156.0,0
-3.693,242.0385,1695332161.0,0
-3.4142,242.2371,1695332167.0,0
-3.1606,242.4176,1695332172.0,0
-2.8816,242.61599999999999,1695332177.0,0
-2.628,242.7963,1695332182.0,0
-2.349,242.99450000000002,1695332188.0,0
-2.0953,243.1746,1695332193.0,0
-1.8415,243.35469999999998,1695332198.0,0
-1.5624,243.55270000000002,1695332203.0,0
-1.3086,243.7326,1695332208.0,0
-1.0548,243.9125,1695332213.0,0
-0.7755,244.1104,1695332219.0,0
-0.5217,244.2903,1695332224.0,0
-0.2425,244.4881,1695332229.0,0
0.0114,244.6679,1695332234.0,0
0.2652,244.8478,1695332239.0,0
0.5445,245.04559999999998,1695332245.0,0
0.7984,245.2255,1695332250.0,0
1.0776,245.42340000000002,1695332255.0,0
1.3315,245.6034,1695332260.0,0
1.5854,245.7834,1695332265.0,0
1.8646,245.9814,1695332271.0,0
2.1184,246.16160000000002,1695332276.0,0
2.3722,246.3418,1695332281.0,0
2.6514,246.5401,1695332286.0,0
2.9051,246.72039999999998,1695332291.0,0
3.1842,246.9189,1695332297.0,0
3.4378,247.0995,1695332302.0,0
3.7168,247.29829999999998,1695332307.0,0
3.9704,247.47910000000002,1695332312.0,0
4.2239,247.6599,1695332317.0,0
4.5027,247.8591,1695332323.0,0
4.7561,248.0403,1695332328.0,0
5.0348,248.2399,1695332333.0,0
5.2881,248.4214,1695332338.0,0
5.5414,248.60320000000002,1695332343.0,0
5.8199,248.80329999999998,1695332349.0,0
6.073,248.9854,1695332354.0,0
6.3261,249.1677,1695332359.0,0
6.6043,249.36849999999998,1695332364.0,0
6.8825,249.5695,1695332370.0,0
7.1353,249.7525,1695332375.0,0
7.388,249.9357,1695332380.0,0
7.6657,250.1374,1695332385.0,0
7.9182,250.3211,1695332390.0,0
8.1958,250.5235,1695332396.0,0
8.4481,250.7077,1695332401.0,0
8.7003,250.8922,1695332406.0,0
8.9775,251.09550000000002,1695332412.0,0
9.2294,251.2806,1695332417.0,0
9.4812,251.466,1695332422.0,0
9.7581,251.6703,1695332427.0,0
10.0349,251.875,1695332433.0,0
10.2863,252.0614,1695332438.0,0
10.5628,252.26690000000002,1695332443.0,0
10.8139,252.454,1695332448.0,0
11.0649,252.6414,1695332453.0,0
11.3409,252.8481,1695332459.0,0
11.5916,253.03629999999998,1695332464.0,0
11.8672,253.2438,1695332469.0,0
12.1176,253.43290000000002,1695332474.0,0
12.3679,253.6223,1695332479.0,0
12.643,253.8312,1695332485.0,0
12.893,254.0215,1695332490.0,0
13.1677,254.2314,1695332495.0,0
13.4172,254.4226,1695332500.0,0
13.6666,254.61419999999998,1695332505.0,0
13.9407,254.8256,1695332511.0,0
14.1897,255.01819999999998,1695332516.0,0
14.4634,255.23059999999998,1695332521.0,0
14.712,255.42419999999998,1695332526.0,0
14.9604,255.6183,1695332531.0,0
15.2334,255.83249999999998,1695332537.0,0
15.4814,256.0276,1695332542.0,0
15.7291,256.2233,1695332547.0,0
16.0014,256.4392,1695332552.0,0
16.2488,256.63599999999997,1695332557.0,0
16.5206,256.8532,1695332563.0,0
16.7674,257.0512,1695332568.0,0
17.014,257.2497,1695332573.0,0
17.2851,257.4688,1695332578.0,0
17.5312,257.66859999999997,1695332583.0,0
17.7771,257.869,1695332588.0,0
18.0473,258.0902,1695332594.0,0
18.2927,258.2919,1695332599.0,0
18.5623,258.5145,1695332604.0,0
18.8071,258.7176,1695332609.0,0
19.0517,258.9213,1695332614.0,0
19.3203,259.1461,1695332620.0,0
19.5643,259.3512,1695332625.0,0
19.8324,259.5776,1695332630.0,0
20.0758,259.7842,1695332635.0,0
20.3189,259.9915,1695332640.0,0
20.586,260.2203,1695332646.0,0
